RecordID,Date,DataField1,DataField2
1,2017/1/10 00:00,Test Data 1,Test Data 1
2,2017/1/11 00:00,Test Data 2,Test Data 2
3,2017/1/12 00:00,Test Data 3,Test Data 3
4,2017/1/13 00:00,Test Data 4,Test Data 4
5,2017/1/14 00:00,Test Data 5,Test Data 5
6,2017/1/15 00:00,Test Data 6,Test Data 6
7,2017/1/16 00:00,Test Data 7,Test Data 7
8,2017/1/17 00:00,Test Data 8,Test Data 8
9,2017/1/18 00:00,Test Data 9,Test Data 9
10,2017/1/19 00:00,Test Data 10,Test Data 10
11,2017/1/20 00:00,Test Data 11,Test Data 11
12,2017/1/21 00:00,Test Data 12,Test Data 12
13,2017/1/22 00:00,Test Data 13,Test Data 13
14,2017/1/23 00:00,Test Data 14,Test Data 14
15,2017/1/24 00:00,Test Data 15,Test Data 15
16,2017/1/25 00:00,Test Data 16,Test Data 16
17,2017/1/26 00:00,Test Data 17,Test Data 17
18,2017/1/27 00:00,Test Data 18,Test Data 18
19,2017/1/28 00:00,Test Data 19,Test Data 19
20,2017/1/29 00:00,Test Data 20,Test Data 20
21,2017/1/30 00:00,Test Data 21,Test Data 21
22,2017/1/31 00:00,Test Data 22,Test Data 22
23,2017/2/1 00:00,Test Data 23,Test Data 23
24,2017/2/2 00:00,Test Data 24,Test Data 24
25,2017/2/3 00:00,Test Data 25,Test Data 25
26,2017/2/4 00:00,Test Data 26,Test Data 26
27,2017/2/5 00:00,Test Data 27,Test Data 27
28,2017/2/6 00:00,Test Data 28,Test Data 28
29,2017/2/7 00:00,Test Data 29,Test Data 29
30,2017/2/8 00:00,Test Data 30,Test Data 30
31,2017/2/9 00:00,Test Data 31,Test Data 31
32,2017/2/10 00:00,Test Data 32,Test Data 32
33,2017/2/11 00:00,Test Data 33,Test Data 33
34,2017/2/12 00:00,Test Data 34,Test Data 34
35,2017/2/13 00:00,Test Data 35,Test Data 35
36,2017/2/14 00:00,Test Data 36,Test Data 36
37,2017/2/15 00:00,Test Data 37,Test Data 37
38,2017/2/16 00:00,Test Data 38,Test Data 38
39,2017/2/17 00:00,Test Data 39,Test Data 39
40,2017/2/18 00:00,Test Data 40,Test Data 40
41,2017/2/19 00:00,Test Data 41,Test Data 41
42,2017/2/20 00:00,Test Data 42,Test Data 42
43,2017/2/21 00:00,Test Data 43,Test Data 43
44,2017/2/22 00:00,Test Data 44,Test Data 44
45,2017/2/23 00:00,Test Data 45,Test Data 45
46,2017/2/24 00:00,Test Data 46,Test Data 46
47,2017/2/25 00:00,Test Data 47,Test Data 47
48,2017/2/26 00:00,Test Data 48,Test Data 48
49,2017/2/27 00:00,Test Data 49,Test Data 49
50,2017/2/28 00:00,Test Data 50,Test Data 50
51,2017/3/1 00:00,Test Data 51,Test Data 51
52,2017/3/2 00:00,Test Data 52,Test Data 52
53,2017/3/3 00:00,Test Data 53,Test Data 53
54,2017/3/4 00:00,Test Data 54,Test Data 54
55,2017/3/5 00:00,Test Data 55,Test Data 55
56,2017/3/6 00:00,Test Data 56,Test Data 56
57,2017/3/7 00:00,Test Data 57,Test Data 57
58,2017/3/8 00:00,Test Data 58,Test Data 58
59,2017/3/9 00:00,Test Data 59,Test Data 59
60,2017/3/10 00:00,Test Data 60,Test Data 60
61,2017/3/11 00:00,Test Data 61,Test Data 61
62,2017/3/12 00:00,Test Data 62,Test Data 62
63,2017/3/13 00:00,Test Data 63,Test Data 63
64,2017/3/14 00:00,Test Data 64,Test Data 64
65,2017/3/15 00:00,Test Data 65,Test Data 65
66,2017/3/16 00:00,Test Data 66,Test Data 66
